"0","KLEVV(科賦)","8GB","DDR4","2666","KLEVV(科賦) 8GB DDR4-2666","1450"
"1","KLEVV(科賦)","16GB","DDR4","2400","KLEVV(科賦) 16GB DDR4-2400","2890"
"10","KLEVV(科賦)","16GB*2","DDR4","3000","KLEVV(科賦) 16GB*2 DDR4-3000 電競/紅光 CRAS II-Red LED","7999"
"100","金士頓","4GB","DDR3","1600","金士頓 4G DDR3-1600","920"
"101","金士頓","8GB","DDR3","1600","金士頓 8G DDR3-1600","1650"
"102","UMAX","4GB","DDR3","1600","UMAX 4G*2(8G) DDR3-1600含散熱片","1488"
"103","UMAX","8GB","DDR3","1600","UMAX 8G*2(16G) DDR3-1600含散熱片","2688"
"104","V-color全何","16GB","DDR3","1866","V-color全何 16Gx2 DDR3-1866 Apple Mac pro專用Ecc Reg(雙條裝)","8400"
"105","UMAX","4GB","DDR4","2133","UMAX 4G DDR4-2133","678"
"106","UMAX","4GB","DDR4","2400","UMAX 4G DDR4-2400","688"
"107","UMAX","4GB","DDR4","2666","UMAX 4G DDR4-2666原生顆粒製","688"
"108","UMAX","8GB","DDR4","2133","UMAX 8G DDR4-2133","1388"
"109","UMAX","8GB","DDR4","2400","UMAX 8G DDR4-2400","1429"
"11","芝奇 G.SKILL","16GB","DDR4","2400","芝奇 G.SKILL AEGIS 16G單隻DDR4-2400 CL17 (黑紅)(F4-2400C17S-16GIS) [終保]","3450"
"110","UMAX","8GB","DDR4","2666","UMAX 8G DDR4-2666原生顆粒製","1429"
"111","UMAX","16GB","DDR4","2133","UMAX 16G DDR4-2133","2750"
"112","UMAX","16GB","DDR4","2400","UMAX 16G DDR4-2400","2750"
"113","UMAX","16GB","DDR4","2666","UMAX 16G DDR4-2666原生顆粒製","2799"
"114","V-color","4GB","DDR4","2400","V-color 4G DDR4 2400 iMS彩色IC[直接換新]","850"
"115","V-color","8GB","DDR4","2400","V-color 8G DDR4 2400 iMS彩色IC/黑色PCB板/單色LED發光[直接換新]","1588"
"116","V-color","8GB","DDR4","2400","V-color 8G DDR4 2400 Skywalker天行者RGB全彩/黑色遮光板[直接換新]","1650"
"117","V-color","16GB","DDR4","2666","V-color 16G DDR4 2666 LED(單色紅光)/紅色散熱片[直接換新]","2999"
"118","威剛","4GB","DDR4","2400","威剛 4G DDR4-2400","788"
"119","威剛","4GB","DDR4","2666","威剛 4G DDR4-2666","788"
"12","芝奇 G.SKILL","8GB","DDR4","3000","芝奇 G.SKILL Ripjaws V 8G單隻DDR4-3000 CL16 (紅)(F4-3000C16S-8GVRB) [終保]","2190"
"120","威剛","8GB","DDR4","2400","威剛 8G DDR4-2400","1588"
"121","威剛","8GB","DDR4","2666","威剛 8G DDR4-2666","1588"
"122","威剛","8GB","DDR4","2666","威剛 8G DDR4-2666 XPG D10超頻/CL16(黑色)","1699"
"123","威剛","8GB","DDR4","2666","威剛 8G DDR4-2666 XPG D10超頻/CL16(黑色)~組裝價~","1649"
"124","威剛","8GB","DDR4","2666","威剛 8G DDR4-2666 XPG D10超頻/CL16(紅色)","1699"
"125","威剛","8GB","DDR4","2666","威剛 8G DDR4-2666 XPG D10超頻/CL16(紅色)~組裝價~","1649"
"126","威剛","8GB","DDR4","3000","威剛 8G DDR4-3000 XPG D10超頻/CL16(黑色)","1799"
"127","威剛","8GB","DDR4","3000","威剛 8G DDR4-3000 XPG D10超頻/CL16(黑色)~組裝價~","1749"
"128","威剛","8GB","DDR4","3000","威剛 8G DDR4-3000 XPG D10超頻/CL16(紅色)","1799"
"129","威剛","8GB","DDR4","3000","威剛 8G DDR4-3000 XPG D10超頻/CL16(紅色)~組裝價~","1749"
"13","芝奇 G.SKILL","8GB","DDR4","3200","芝奇 G.SKILL Ripjaws V 8G單隻DDR4-3200 CL16 (紅)(F4-3200C16S-8GVRB) [終保]","2290"
"130","威剛","16GB","DDR4","2400","威剛 16G DDR4-2400","3288"
"131","威剛","16GB","DDR4","2666","威剛 16G DDR4-2666","3288"
"132","威剛","16GB","DDR4","2666","威剛 16G DDR4-2666 XPG D10超頻/CL16(黑色)","3399"
"133","威剛","16GB","DDR4","3000","威剛 16G DDR4-3000 XPG D10超頻/CL16(黑色)","3599"
"134","金士頓","4GB","DDR4","2400","金士頓 4G DDR4-2400","950"
"135","金士頓","8GB","DDR4","2400","金士頓 8G DDR4-2400","1750"
"136","金士頓","8GB","DDR4","2666","金士頓 8G DDR4-2666","1780"
"137","金士頓","8GB","DDR4","2400","金士頓 8G DDR4-2400 HyperX FURY(黑)","1799"
"138","金士頓","8GB","DDR4","2400","金士頓 8G DDR4-2400 HyperX FURY(紅)","1799"
"139","金士頓","8GB","DDR4","2666","金士頓 8G DDR4-2666 HyperX FURY(黑)","1880"
"14","芝奇 G.SKILL","8GB","DDR4","2400","芝奇 G.SKILL Ripjaws V 8G*2雙通DDR4-2400 CL15(紅)(F4-2400C15D-16GVR) [終保]","3850"
"140","金士頓","8GB","DDR4","2933","金士頓 8G DDR4-2933 HyperX FURY(黑)","1999"
"141","金士頓","8GB","DDR4","3200","金士頓 8G DDR4-3200 HyperX FURY(黑)","1990"
"142","金士頓","8GB","DDR4","3200","金士頓 8G DDR4-3200 HyperX FURY(紅)","1999"
"143","金士頓","8GB","DDR4","3466","金士頓 8G DDR4-3466 HyperX FURY(黑)","2150"
"144","金士頓","8GB","DDR4","3466","金士頓 8G DDR4-3466 HyperX FURY(紅)","2150"
"145","金士頓","16GB","DDR4","2400","金士頓 16G DDR4-2400","3450"
"146","金士頓","16GB","DDR4","2666","金士頓 16G DDR4-2666","3488"
"147","金士頓","16GB","DDR4","2400","金士頓 16G DDR4-2400 HyperX FURY(黑)","3550"
"148","金士頓","16GB","DDR4","2400","金士頓 16G DDR4-2400 HyperX FURY(紅)","3550"
"149","金士頓","16GB","DDR4","2666","金士頓 16G DDR4-2666 HyperX FURY(黑)","3650"
"15","芝奇 G.SKILL","8GB","DDR4","2666","芝奇 G.SKILL Ripjaws V 8G*2雙通DDR4-2666 CL19(紅)(F4-2666C19D-16GVR)[終保]","3900"
"150","金士頓","16GB","DDR4","2933","金士頓 16G DDR4-2933 HyperX FURY(黑)","3750"
"151","金士頓","16GB","DDR4","3000","金士頓 16G DDR4-3000 HyperX Predator(黑)","3999"
"152","金士頓","16GB","DDR4","3200","金士頓 16G DDR4-3200 HyperX FURY(黑)","3788"
"153","金士頓","16GB","DDR4","3200","金士頓 16G DDR4-3200 HyperX FURY(紅)","3788"
"154","金士頓","16GB","DDR4","3466","金士頓 16G DDR4-3466 HyperX FURY(黑)","3990"
"155","金士頓","16GB","DDR4","3466","金士頓 16G DDR4-3466 HyperX FURY(紅)","3990"
"156","美光 Micron","4GB","DDR4","2400","美光 Micron Ballistix Sport LT 4G DDR4-2400超頻記憶體","699"
"157","美光 Micron","4GB","DDR4","2666","美光 Micron Crucial 4G DDR4-2666","799"
"158","美光 Micron","8GB","DDR4","2400","美光 Micron Crucial 8G DDR4-2400","1599"
"159","美光 Micron","8GB","DDR4","2400","美光 Micron Ballistix Sport LT競技版 8G DDR4-2400(白色散熱片)(美光22週年慶)","1459"
"16","芝奇 G.SKILL","8GB","DDR4","3000","芝奇 G.SKILL Ripjaws V 8G*2雙通D4-3000 CL16(紅)(F4-3000C16D-16GVRB)[終保]","3980"
"160","美光 Micron","8GB","DDR4","2666","美光 Micron Crucial 8G DDR4-2666","1599"
"161","美光 Micron","8GB","DDR4","3000","美光 Micron Ballistix Tactical戰鬥版 8G DDR4-3000","2199"
"162","美光 Micron","8GB","DDR4","3000","美光 Micron Ballistix Tracer 8G DDR4 3000 RGB超頻記憶體","2599"
"163","美光 Micron","8GB","DDR4","3466","美光 Micron Ballistix Elite 菁英版 8G DDR4-3466","2599"
"164","美光 Micron","16GB","DDR4","2666","美光 Micron Crucial 16G DDR4-2666","3299"
"165","美光 Micron","16GB","DDR4","3000","美光 Micron Ballistix Tactical戰鬥版 16G DDR4-3000","4299"
"166","美光 Micron","16GB","DDR4","3000","美光 Micron Ballistix Tracer 16G DDR4 3000 RGB超頻記憶體","4999"
"167","V-color","8GB","DDR4","3000","V-color 8G*2 DDR4 3000 CL15 PRISM【菱鏡】RGB全彩電競光/iMS","3288"
"168","V-color","8GB","DDR4","3200","V-color 8G*2 DDR4 3200 CL16 PRISM【菱鏡】RGB全彩電競光/iMS~三星B-DIE顆粒","3788"
"169","UMAX","4GB","DDR4","2133","UMAX 4G*2 DDR4-2133含散熱片","1788"
"17","芝奇 G.SKILL","8GB","DDR4","3000","芝奇 G.SKILL Ripjaws V 8G*2雙通DDR4-3000 CL15(紅)(F4-3000C15D-16GVRB) [終保]","4499"
"170","UMAX","4GB","DDR4","2666","UMAX 4G*2 DDR4-2666原生顆粒製-含散熱片","1800"
"171","UMAX","8GB","DDR4","2133","UMAX 8G*2 DDR4-2133含散熱片","2850"
"172","UMAX","8GB","DDR4","2400","UMAX 8G*2 DDR4-2400含散熱片","2850"
"173","UMAX","8GB","DDR4","2666","UMAX 8G*2 DDR4-2666原生顆粒製-含散熱片","2888"
"174","UMAX","16GB","DDR4","2133","UMAX 16G*2 DDR4-2133含散熱片","5800"
"175","UMAX","16GB","DDR4","2400","UMAX 16G*2 DDR4-2400含散熱片","5800"
"176","UMAX","16GB","DDR4","2666","UMAX 16G*2 DDR4-2666原生顆粒製-含散熱片","5888"
"177","威剛","8GB","DDR4","2666","威剛 8G*2 DDR4-2666 XPG D10超頻","3399"
"178","威剛","8GB","DDR4","3000","威剛 8G*2 DDR4-3000 XPG D10超頻","3599"
"179","威剛","8GB","DDR4","3200","威剛 8G*2 DDR4-3200 XPG Z1超頻~三星B-DIE顆粒~","4599"
"18","芝奇 G.SKILL","8GB","DDR4","3200","芝奇 G.SKILL Ripjaws V 8G*2雙通DDR4-3200 CL16(黑)(F4-3200C16D-16GVKB) [終保]","4390"
"180","威剛","8GB","DDR4","3600","威剛 8G*2 DDR4-3600 XPG Z1超頻~三星B-DIE顆粒~","5699"
"181","威剛","16GB","DDR4","3000","威剛 16G*2 DDR4-3000 XPG Z1超頻","8399"
"182","威剛","8GB","DDR4","3000","威剛 8G*2 DDR4-3000 XPG SPECTRIX D41 RGB炫光記憶體(鈦灰)~加贈64G隨身碟~","4599"
"183","威剛","8GB","DDR4","3000","威剛 8G*2 DDR4-3000 XPG SPECTRIX D41 RGB炫光記憶體(紅色)~加贈64G隨身碟~","4599"
"184","威剛","8GB","DDR4","3200","威剛 8G*2 DDR4-3200 XPG SPECTRIX D41 RGB~三星B-DIE顆粒~~加贈64G隨身碟~","4899"
"185","威剛","8GB","DDR4","3000","威剛 8G*2 DDR4-3000 XPG SPECTRIX D80 RGB炫光記憶體(紅色)~加贈64G隨身碟~","5299"
"186","金士頓","8GB","DDR4","2400","金士頓 8G*2 DDR4-2400 HyperX FURY(黑)","3688"
"187","金士頓","8GB","DDR4","2400","金士頓 8G*2 DDR4-2400 HyperX FURY(紅)","3688"
"188","金士頓","8GB","DDR4","2666","金士頓 8G*2 DDR4-2666 HyperX FURY(黑)","3788"
"189","金士頓","8GB","DDR4","2933","金士頓 8G*2 DDR4-2933 HyperX FURY(黑)","3888"
"19","芝奇 G.SKILL","16GB","DDR4","2400","芝奇 G.SKILL Ripjaws V 16G*2雙通DDR4-2400 CL15(紅)(F4-2400C15D-32GVR)[終保]","8888"
"190","金士頓","8GB","DDR4","3000","金士頓 8G*2 DDR4-3000 HyperX Predator(黑)","4188"
"191","金士頓","8GB","DDR4","3200","金士頓 8G*2 DDR4-3200 HyperX FURY(黑)","4188"
"192","金士頓","8GB","DDR4","3200","金士頓 8G*2 DDR4-3200 HyperX FURY(紅)","4188"
"193","金士頓","8GB","DDR4","3200","金士頓 8G*2 DDR4-3200 HyperX Predator(黑)","4388"
"194","金士頓","8GB","DDR4","3200","金士頓 8G*2 DDR4-3200 HyperX Predator RGB(黑)~限時限量活動~","3990"
"195","金士頓","8GB","DDR4","3466","金士頓 8G*2 DDR4-3466 HyperX FURY(黑)","4850"
"196","金士頓","8GB","DDR4","3466","金士頓 8G*2 DDR4-3466 HyperX FURY(紅)","4850"
"197","金士頓","16GB","DDR4","2400","金士頓 16G*2 DDR4-2400 HyperX FURY(黑)","7488"
"198","金士頓","16GB","DDR4","2400","金士頓 16G*2 DDR4-2400 HyperX FURY(紅)","7488"
"199","金士頓","16GB","DDR4","2933","金士頓 16G*2 DDR4-2933 HyperX FURY(黑)","7688"
"2","KLEVV(科賦)","16GB","DDR4","2666","KLEVV(科賦) 16GB DDR4-2666","2890"
"20","芝奇 G.SKILL","8GB","DDR4","2400","芝奇 G.SKILL Ripjaws V 8G*4四通DDR4-2400 CL15(紅)(F4-2400C15Q-32GVR) [終保]","8888"
"200","金士頓","16GB","DDR4","3200","金士頓 16G*2 DDR4-3200 HyperX FURY(黑)","7888"
"201","金士頓","16GB","DDR4","3200","金士頓 16G*2 DDR4-3200 HyperX FURY(紅)","7888"
"202","金士頓","16GB","DDR4","3466","金士頓 16G*2 DDR4-3466 HyperX FURY(黑)","8588"
"203","金士頓","16GB","DDR4","3466","金士頓 16G*2 DDR4-3466 HyperX FURY(紅)","8588"
"204","技嘉 AORUS","8GB","DDR4","3200","技嘉 AORUS 8G*2 DDR4-3200(三星B-DIE顆粒)RGB超頻記憶體","7490"
"205","美光 Micron","8GB","DDR4","2666","美光 Micron Crucial 8G*2 DDR4-2666","3399"
"206","美光 Micron","16GB","DDR4","2666","美光 Micron Crucial 16G*2 DDR4-2666","7099"
"207","美光 Micron","8GB","DDR4","3000","美光 Micron Ballistix Tactical戰鬥版 8G*2 DDR4-3000","4399"
"208","美光 Micron","8GB","DDR4","3000","美光 Micron Ballistix Tracer 8G*2 DDR4 3000 RGB超頻記憶體","5199"
